Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,-9999
2424,Andrea Schiavone,it ITA,MF,Salernitana,it Serie A,28,1993,6.3,14,8,5,9,0,10,23,43.5,13,13,3,10,8,22,12,0,Matches,4b55eb4d
2425,Patrik Schick,cz CZE,FW,Leverkusen,de Bundesliga,25,1996,23.1,5,2,2,2,1,1,9,11.1,8,6,1,5,3,8,28,0,Matches,5d4f7d61
2426,Kingsley Schindler,de GER,MFDF,Köln,de Bundesliga,28,1993,3.9,1,0,0,0,1,1,5,20.0,4,5,1,4,5,6,5,0,Matches,bd527260
2427,Xaver Schlager,at AUT,MF,Wolfsburg,de Bundesliga,23,1997,11.6,43,20,20,20,3,20,49,40.8,29,25,2,23,9,52,14,0,Matches,8f056768
2428,Keven Schlotterbeck,de GER,DFFW,Freiburg,de Bundesliga,24,1997,3.5,11,5,6,5,0,5,6,83.3,1,7,4,3,11,22,24,1,Matches,f6bdc830
2429,Nico Schlotterbeck,de GER,DF,Freiburg,de Bundesliga,21,1999,30.9,72,43,36,34,2,33,48,68.8,15,41,32,9,56,128,154,1,Matches,34e12499
2430,Jeffrey Schlupp,gh GHA,MFFW,Crystal Palace,eng Premier League,28,1992,20.6,46,25,16,23,7,24,50,48.0,26,39,9,30,18,64,32,0,Matches,3312f911
2431,Kasper Schmeichel,dk DEN,GK,Leicester City,eng Premier League,34,1986,37.0,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,15,2,Matches,53af52f3
2432,Jonathan Schmid,fr FRA,DF,Freiburg,de Bundesliga,31,1990,6.5,12,6,6,3,3,5,7,71.4,2,7,1,6,6,18,15,0,Matches,088ca1bd
2433,Benno Schmitz,de GER,DF,Köln,de Bundesliga,26,1994,26.9,57,37,21,27,9,42,86,48.8,44,44,8,36,39,96,39,0,Matches,ad00b1a8
2434,David Schnegg,at AUT,DF,Venezia,it Serie A,22,1998,1.6,2,0,1,1,0,1,3,33.3,2,4,0,4,3,5,6,0,Matches,1c341b14
2435,Morgan Schneiderlin,fr FRA,MF,Nice,fr Ligue 1,31,1989,7.2,21,12,9,11,1,6,13,46.2,7,8,2,6,20,41,18,0,Matches,51b41c5c
2436,Alessandro Schöpf,at AUT,MF,Arminia,de Bundesliga,27,1994,26.6,40,22,19,16,5,14,30,46.7,16,31,5,26,30,70,21,1,Matches,106bca06
2437,Jerdy Schouten,nl NED,MF,Bologna,it Serie A,24,1997,15.5,25,17,10,12,3,9,22,40.9,13,22,5,17,33,58,29,1,Matches,2cfae697
2438,Nico Schulz,de GER,DF,Dortmund,de Bundesliga,28,1993,9.3,21,12,9,7,5,9,21,42.9,12,8,1,7,11,32,8,0,Matches,fa274d97
2439,Marvin Schwäbe,de GER,GK,Köln,de Bundesliga,26,1995,21.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,8,1,Matches,87436846
2440,Alexander Schwolow,de GER,GK,Hertha BSC,de Bundesliga,29,1992,24.2,0,0,0,0,0,0,1,0.0,1,0,0,0,2,2,18,3,Matches,0d55d942
2441,Valentino Scotta,es ESP,DF,Sevilla,es La Liga,19,2001,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,98529579
2442,Demba Seck,sn SEN,MFFW,Torino,it Serie A,20,2001,1.6,2,1,0,2,0,0,0,,0,0,0,0,0,2,0,0,Matches,16463a79
2443,Aleksandar Sedlar,rs SRB,DFMF,Mallorca,es La Liga,29,1991,4.5,5,3,4,1,0,3,5,60.0,2,4,4,0,5,10,19,0,Matches,a35134ae
2444,Paul Seguin,de GER,MF,Greuther Fürth,de Bundesliga,26,1995,23.4,50,31,15,32,3,26,56,46.4,30,27,3,24,19,69,30,1,Matches,8872ed17
2445,Alidu Seidu,gh GHA,DF,Clermont Foot,fr Ligue 1,21,2000,15.7,34,20,20,13,1,16,27,59.3,11,25,11,14,34,68,49,1,Matches,cea59f02
2446,Davie Selke,de GER,FW,Hertha BSC,de Bundesliga,26,1995,11.2,5,4,1,3,1,1,3,33.3,2,6,1,5,1,6,11,0,Matches,1238a3f9
2447,Matz Sels,be BEL,GK,Strasbourg,fr Ligue 1,29,1992,37.0,1,1,1,0,0,0,0,,0,0,0,0,1,2,22,0,Matches,834b5c4c
2448,Ken Sema,se SWE,MFFW,Watford,eng Premier League,27,1993,9.5,16,6,11,4,1,9,20,45.0,11,10,0,10,5,21,11,0,Matches,1770bd68
2449,Nélson Semedo,pt POR,MFDF,Wolves,eng Premier League,27,1993,23.7,58,39,39,17,2,25,49,51.0,24,23,4,19,21,79,64,1,Matches,d04b94db
2450,Lion Semić,de GER,DF,Dortmund,de Bundesliga,17,2003,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,87ebd8c9
2451,Adrian Šemper,hr CRO,GK,Genoa,it Serie A,23,1998,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,f02dde20
2452,Stefano Sensi,it ITA,MFFW,Sampdoria,it Serie A,25,1995,8.4,18,9,10,6,2,10,23,43.5,13,2,0,2,6,24,4,0,Matches,b70bde8f
2453,Stefano Sensi,it ITA,MFFW,Inter,it Serie A,25,1995,1.9,4,3,1,3,0,2,4,50.0,2,2,0,2,0,4,2,0,Matches,b70bde8f
2454,Luigi Sepe,it ITA,GK,Salernitana,it Serie A,30,1991,15.5,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,Matches,343f753a
2455,Suat Serdar,de GER,MF,Hertha BSC,de Bundesliga,24,1997,24.6,64,30,24,29,11,25,55,45.5,30,32,3,29,20,84,14,0,Matches,b3325a30
2456,Laurens Serpe,it ITA,DF,Genoa,it Serie A,20,2001,0.5,1,0,1,0,0,1,2,50.0,1,0,0,0,0,1,1,0,Matches,79d60e74
2457,Janni Serra,de GER,FW,Arminia,de Bundesliga,23,1998,12.4,4,2,2,0,2,2,7,28.6,5,8,3,5,5,9,19,0,Matches,40b58bfc
2458,Javier Serrano,es ESP,MF,Atlético Madrid,es La Liga,18,2003,0.8,3,1,0,3,0,2,4,50.0,2,0,0,0,3,6,2,0,Matches,0a8fd9cb
2459,Nicolás Serrano,es ESP,MFFW,Athletic Club,es La Liga,18,2003,3.5,9,6,3,5,1,3,10,30.0,7,5,1,4,2,11,3,0,Matches,2ad0e5e5
2460,Zidan Sertdemir,dk DEN,MF,Leverkusen,de Bundesliga,16,2005,0.2,2,2,2,0,0,0,0,,0,0,0,0,0,2,0,0,Matches,eec1f7f4
2461,Ryan Sessegnon,eng ENG,DFMF,Tottenham,eng Premier League,21,2000,11.6,25,19,14,7,4,11,22,50.0,11,18,3,15,7,32,26,0,Matches,6aa3e78b
2462,Nils Seufert,de GER,MF,Greuther Fürth,de Bundesliga,24,1997,1.1,3,2,1,1,1,0,1,0.0,1,0,0,0,0,3,0,0,Matches,0da32a38
2463,Salva Sevilla,es ESP,MF,Mallorca,es La Liga,37,1984,16.7,18,12,8,8,2,6,17,35.3,11,12,6,6,14,32,11,0,Matches,75bd85ea
2464,Stephan El Shaarawy,it ITA,MFFW,Roma,it Serie A,28,1992,11.7,13,8,4,9,0,4,6,66.7,2,10,2,8,11,24,8,0,Matches,d3aaad90
2465,Jamie Shackleton,eng ENG,DFMF,Leeds United,eng Premier League,21,1999,7.9,27,16,19,7,1,13,25,52.0,12,11,7,4,8,35,12,1,Matches,8d03ca5a
2466,Xherdan Shaqiri,ch SUI,MF,Lyon,fr Ligue 1,29,1991,7.5,7,3,0,5,2,2,10,20.0,8,2,0,2,2,9,2,0,Matches,6421ec64
2467,Luke Shaw,eng ENG,DF,Manchester Utd,eng Premier League,26,1995,17.8,21,13,9,9,3,12,21,57.1,9,22,11,11,9,30,22,2,Matches,9c94165b
2468,Jonjo Shelvey,eng ENG,MF,Newcastle Utd,eng Premier League,29,1992,22.0,30,17,12,18,0,14,34,41.2,20,22,7,15,22,52,20,2,Matches,3727dd3c
2469,Aimar Sher,se SWE,MF,Spezia,it Serie A,18,2002,0.5,2,1,1,1,0,0,1,0.0,1,1,0,1,3,5,1,0,Matches,ef301f96
2470,Eldor Shomurodov,uz UZB,FWMF,Roma,it Serie A,26,1995,8.7,5,4,0,4,1,1,10,10.0,9,8,0,8,2,7,5,0,Matches,57469b2d
2471,Shola Shoretire,eng ENG,MF,Manchester Utd,eng Premier League,17,2004,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,00f0482f
2472,Mahame Siby,ml MLI,DF,Strasbourg,fr Ligue 1,25,1996,0.2,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,Matches,6d075c67
2473,Aboubakar Sidibé,fr FRA,DF,Clermont Foot,fr Ligue 1,25,1996,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,ae5b93a0
2474,Alassane Sidibe,ci CIV,MF,Atalanta,it Serie A,19,2002,0.1,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,Matches,f944979d
2475,Djibril Sidibé,fr FRA,DFMF,Monaco,fr Ligue 1,29,1992,10.5,24,13,13,8,3,9,24,37.5,15,10,1,9,16,40,13,0,Matches,4c5b714f
2476,Kaj Sierhuis,nl NED,FW,Reims,fr Ligue 1,23,1998,0.9,1,1,1,0,0,1,3,33.3,2,0,0,0,0,1,1,0,Matches,9c2b1f11
2477,Francisco Sierralta,cl CHI,DF,Watford,eng Premier League,24,1997,4.7,7,3,7,0,0,5,8,62.5,3,7,2,5,6,13,35,0,Matches,0f933743
2478,Arnór Sigurðsson,is ISL,FWMF,Venezia,it Serie A,22,1999,2.0,1,1,0,1,0,1,2,50.0,1,2,0,2,1,2,0,0,Matches,f209b81e
2479,Kiliann Sildillia,fr FRA,DFMF,Freiburg,de Bundesliga,19,2002,1.9,7,3,3,4,0,3,6,50.0,3,1,0,1,2,9,7,1,Matches,313254a3
2480,Adrien Silva,pt POR,MF,Sampdoria,it Serie A,32,1989,12.0,24,12,14,5,5,9,33,27.3,24,15,5,10,23,47,23,0,Matches,d6f88a1d
2481,André Silva,pt POR,FW,RB Leipzig,de Bundesliga,25,1995,23.1,13,9,2,3,8,4,13,30.8,9,20,2,18,2,15,15,0,Matches,3effaa34
2482,Bernardo Silva,pt POR,MFFW,Manchester City,eng Premier League,26,1994,31.7,57,29,19,19,19,31,67,46.3,36,24,2,22,20,77,19,0,Matches,3eb22ec9
2483,Caio Henrique Oliveira Silva,br BRA,DFMF,Monaco,fr Ligue 1,24,1997,29.6,53,30,31,18,4,28,59,47.5,31,30,6,24,27,80,37,3,Matches,30af8b93
2484,David Silva,es ESP,MF,Real Sociedad,es La Liga,35,1986,19.1,28,17,10,11,7,3,20,15.0,17,13,3,10,7,35,12,0,Matches,e2716bd0
2485,Fábio Silva,pt POR,FW,Wolves,eng Premier League,19,2002,6.4,3,2,0,2,1,0,8,0.0,8,2,0,2,1,4,1,0,Matches,e7aa9d7c
2486,Gabriel Silva,br BRA,DFMF,Saint-Étienne,fr Ligue 1,30,1991,7.9,12,7,7,2,3,9,13,69.2,4,9,3,6,17,29,13,0,Matches,4914ed4a
2487,Jonathan Silva,ar ARG,DFFW,Getafe,es La Liga,27,1994,2.5,10,8,4,4,2,7,12,58.3,5,4,0,4,3,13,7,0,Matches,f2308b33
2488,Rui Silva,pt POR,GK,Betis,es La Liga,27,1994,21.8,1,0,1,0,0,1,2,50.0,1,0,0,0,1,2,11,1,Matches,ea83bfa6
2489,Thiago Silva,br BRA,DF,Chelsea,eng Premier League,36,1984,29.4,32,21,19,12,1,11,22,50.0,11,54,31,23,44,76,100,0,Matches,86e7deaf
2490,Marco Silvestri,it ITA,GK,Udinese,it Serie A,30,1991,35.0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,11,1,Matches,0d422df7
2491,Mohamed Simakan,fr FRA,DF,RB Leipzig,de Bundesliga,21,2000,22.3,48,27,25,21,2,27,41,65.9,14,22,11,11,40,88,46,1,Matches,fcb27134
2492,Giovanni Simeone,ar ARG,FW,Hellas Verona,it Serie A,26,1995,29.5,27,15,6,12,9,9,39,23.1,30,37,3,34,6,33,23,0,Matches,343c0d52
2493,Giovanni Simeone,ar ARG,FW,Cagliari,it Serie A,26,1995,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,343c0d52
2494,Giuliano Simeone,ar ARG,MF,Atlético Madrid,es La Liga,18,2002,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,a6536561
2495,Ellis Simms,eng ENG,FW,Everton,eng Premier League,20,2001,0.7,0,0,0,0,0,0,0,,0,1,1,0,0,0,1,0,Matches,26d3b5be
2496,Moses Simon,ng NGA,MFFW,Nantes,fr Ligue 1,26,1995,25.9,17,11,6,5,6,11,23,47.8,12,14,3,11,12,29,5,0,Matches,5f3eaaf5
2497,Unai Simón,es ESP,GK,Athletic Club,es La Liga,24,1997,34.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,1,Matches,5dcf3e90
2498,Xavi Simons,nl NED,MFFW,Paris S-G,fr Ligue 1,18,2003,1.5,1,1,0,1,0,1,2,50.0,1,3,0,3,0,1,0,0,Matches,da4d670f
2499,Wilfried Singo,ci CIV,DF,Torino,it Serie A,20,2000,29.0,55,35,24,24,7,24,34,70.6,10,26,6,20,23,78,47,0,Matches,8b609c34
2500,Daley Sinkgraven,nl NED,DFMF,Leverkusen,de Bundesliga,26,1995,3.9,6,2,4,0,2,3,7,42.9,4,3,1,2,3,9,6,0,Matches,73000a79
2501,Tobias Sippel,de GER,GK,M'Gladbach,de Bundesliga,33,1988,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,0d8a37c2
2502,Hugo Siquet,be BEL,DF,Freiburg,de Bundesliga,19,2002,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,c6cf860f
2503,Salvatore Sirigu,it ITA,GK,Genoa,it Serie A,34,1987,37.0,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,19,2,Matches,10dc46f0
2504,Issouf Sissokho,ml MLI,MF,Bordeaux,fr Ligue 1,19,2002,4.8,17,8,2,13,2,8,17,47.1,9,8,1,7,7,24,0,0,Matches,792a9d41
2505,Ibrahima Sissoko,fr FRA,MFDF,Strasbourg,fr Ligue 1,23,1997,25.6,47,23,18,20,9,19,46,41.3,27,32,11,21,35,82,31,0,Matches,0f8418aa
2506,Moussa Sissoko,fr FRA,MF,Watford,eng Premier League,31,1989,35.8,53,27,27,20,6,28,42,66.7,14,42,13,29,30,83,64,0,Matches,2acd49b9
2507,Nelson Sissoko,fr FRA,DF,Saint-Étienne,fr Ligue 1,24,1997,0.5,2,0,2,0,0,1,1,100.0,0,0,0,0,0,2,2,0,Matches,12bd0579
2508,Sambou Sissoko,fr FRA,MFDF,Reims,fr Ligue 1,22,1999,2.0,12,6,6,4,2,6,8,75.0,2,2,0,2,2,14,7,0,Matches,e4bb1f08
2509,Antonio Sivera,es ESP,GK,Alavés,es La Liga,24,1996,3.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches,9970da54
2510,Ellyes Skhiri,tn TUN,MF,Köln,de Bundesliga,26,1995,20.2,55,33,25,26,4,22,41,53.7,19,41,7,34,37,92,35,1,Matches,c2211709
2511,Oliver Skipp,eng ENG,MF,Tottenham,eng Premier League,20,2000,15.0,33,19,14,18,1,15,31,48.4,16,19,7,12,12,45,10,1,Matches,6250083a
2512,Leo Skiri Østigård,no NOR,DF,Genoa,it Serie A,21,1999,13.0,16,9,8,7,1,9,11,81.8,2,17,10,7,8,24,55,1,Matches,b35a7399
2513,Łukasz Skorupski,pl POL,GK,Bologna,it Serie A,30,1991,36.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,17,0,Matches,ab4449d6
2514,Andreas Skov Olsen,dk DEN,DFMF,Bologna,it Serie A,21,1999,8.3,12,10,4,4,4,5,11,45.5,6,9,1,8,3,15,11,0,Matches,c50cee19
2515,Robert Skov,dk DEN,FWDF,Hoffenheim,de Bundesliga,25,1996,4.1,3,2,1,1,1,2,9,22.2,7,2,0,2,3,6,3,0,Matches,ff98492b
2516,Milan Škriniar,sk SVK,DF,Inter,it Serie A,26,1995,35.0,47,27,26,17,4,24,42,57.1,18,36,25,11,25,72,90,1,Matches,30f5ffa9
2517,Islam Slimani,dz ALG,FW,Lyon,fr Ligue 1,33,1988,6.4,3,2,0,1,2,1,6,16.7,5,4,0,4,2,5,5,0,Matches,ffec9769
2518,William Smallbone,ie IRL,MFFW,Southampton,eng Premier League,21,2000,1.5,4,4,2,2,0,1,3,33.3,2,4,0,4,2,6,0,0,Matches,5e105217
2519,Chris Smalling,eng ENG,DF,Roma,it Serie A,31,1989,23.2,36,23,28,8,0,18,25,72.0,7,32,24,8,26,62,92,1,Matches,b6964eb6
2520,Emile Smith Rowe,eng ENG,MF,Arsenal,eng Premier League,21,2000,21.3,14,7,7,7,0,4,20,20.0,16,18,1,17,15,29,10,1,Matches,17695062
2521,Cédric Soares,pt POR,DF,Arsenal,eng Premier League,29,1991,16.5,38,26,23,9,6,16,25,64.0,9,18,7,11,16,54,31,1,Matches,839c14e1
2522,Danilo Soares,br BRA,DF,Bochum,de Bundesliga,29,1991,28.5,109,71,61,39,9,56,84,66.7,28,63,9,54,62,171,65,2,Matches,c05f2f8c
2523,Rubén Sobrino,es ESP,MF,Valencia,es La Liga,29,1992,0.2,1,1,1,0,0,1,1,100.0,0,1,0,1,2,3,0,0,Matches,19b776e9
2524,Rubén Sobrino,es ESP,MFFW,Cádiz,es La Liga,29,1992,20.7,28,17,11,10,7,5,35,14.3,30,21,1,20,21,49,18,0,Matches,19b776e9
2525,Alex Sola,es ESP,DFMF,Real Sociedad,es La Liga,22,1999,0.5,1,1,1,0,0,1,3,33.3,2,1,0,1,2,3,3,0,Matches,5fa714d5
2526,Augusto Solari,ar ARG,MFDF,Celta Vigo,es La Liga,29,1992,7.9,24,12,9,12,3,12,32,37.5,20,14,4,10,7,31,10,1,Matches,3ca6106c
2527,Roberto Soldado,es ESP,FW,Levante,es La Liga,36,1985,7.4,3,1,0,1,2,1,3,33.3,2,4,0,4,1,4,7,0,Matches,9d66fbe3
2528,Carlos Soler,es ESP,MF,Valencia,es La Liga,24,1997,27.5,29,19,10,15,4,11,37,29.7,26,19,4,15,14,43,28,0,Matches,fed17f5a
2529,Yann Sommer,ch SUI,GK,M'Gladbach,de Bundesliga,32,1988,33.0,0,0,0,0,0,0,2,0.0,2,0,0,0,3,3,8,3,Matches,420c18a1
2530,Son,es ESP,DFMF,Levante,es La Liga,27,1994,21.9,28,18,16,7,5,17,34,50.0,17,11,5,6,19,47,33,1,Matches,037dbd30
2531,Brandon Soppy,fr FRA,DFMF,Udinese,it Serie A,19,2002,8.6,20,9,8,10,2,11,16,68.8,5,10,2,8,5,25,9,1,Matches,28f66c2e
2532,David Soria,es ESP,GK,Getafe,es La Liga,28,1993,37.9,1,0,1,0,0,1,2,50.0,1,0,0,0,0,1,22,2,Matches,8f8c6934
2533,Roberto Soriano,it ITA,MF,Bologna,it Serie A,30,1991,29.1,57,30,27,22,8,17,56,30.4,39,37,3,34,22,79,32,0,Matches,9d4c45d6
2534,Alberto Soro,es ESP,MFDF,Granada,es La Liga,22,1999,6.4,12,10,3,6,3,1,7,14.3,6,21,2,19,3,15,4,0,Matches,452c3055
2535,Borna Sosa,hr CRO,DFFW,Stuttgart,de Bundesliga,23,1998,27.8,22,12,14,5,3,12,26,46.2,14,30,3,27,26,48,61,0,Matches,af0d79a9
2536,Hugo Sotelo,es ESP,FW,Celta Vigo,es La Liga,17,2003,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,3aa74860
2537,Florian Sotoca,fr FRA,FWMF,Lens,fr Ligue 1,30,1990,27.6,31,19,7,20,4,12,51,23.5,39,31,4,27,25,56,41,0,Matches,7a42d0df
2538,Riccardo Sottil,it ITA,FW,Fiorentina,it Serie A,22,1999,13.8,9,4,4,4,1,3,9,33.3,6,3,0,3,1,10,2,0,Matches,94816803
2539,Tomáš Souček,cz CZE,MF,West Ham,eng Premier League,26,1995,34.0,66,32,27,33,6,28,65,43.1,37,34,13,21,52,118,98,1,Matches,6613c819
2540,Matìas Soulé,ar ARG,MF,Juventus,it Serie A,18,2003,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches,c13ddd3e
2541,Sambou Soumano,sn SEN,FWMF,Lorient,fr Ligue 1,20,2001,5.0,4,1,1,2,1,2,2,100.0,0,3,0,3,1,5,7,0,Matches,7cc00776
2542,Adama Soumaoro,fr FRA,DF,Bologna,it Serie A,29,1992,25.2,15,5,5,8,2,4,9,44.4,5,22,16,6,34,49,95,0,Matches,7b075c75
2543,Boubakary Soumaré,fr FRA,MF,Leicester City,eng Premier League,22,1999,12.2,19,13,10,8,1,8,17,47.1,9,13,1,12,14,33,18,0,Matches,ae59b359
2544,Arnaud Souquet,fr FRA,DF,Montpellier,fr Ligue 1,29,1992,25.9,56,35,30,17,9,32,65,49.2,33,21,7,14,34,90,60,1,Matches,4e0afc5d
2545,Djibril Sow,ch SUI,MF,Eint Frankfurt,de Bundesliga,24,1997,26.8,57,33,28,25,4,22,60,36.7,38,35,8,27,50,107,20,1,Matches,4c6facae
2546,Saidou Sow,gn GUI,DF,Saint-Étienne,fr Ligue 1,19,2002,11.0,28,17,21,6,1,16,21,76.2,5,15,5,10,23,51,34,0,Matches,f6b94e8d
2547,Çağlar Söyüncü,tr TUR,DF,Leicester City,eng Premier League,25,1996,27.7,47,30,32,12,3,26,42,61.9,16,44,27,17,32,79,115,1,Matches,21166ff4
2548,Leonardo Spinazzola,it ITA,DF,Roma,it Serie A,28,1993,1.4,0,0,0,0,0,0,1,0.0,1,4,1,3,0,0,3,0,Matches,3626daea
2549,Marco Sportiello,it ITA,GK,Atalanta,it Serie A,29,1992,5.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches,ac4003af
2550,Tony Springett,eng ENG,MF,Norwich City,eng Premier League,18,2002,1.6,2,1,1,1,0,1,4,25.0,3,0,0,0,0,2,2,0,Matches,35be8087
2551,Jerry St. Juste,nl NED,DF,Mainz 05,de Bundesliga,24,1996,6.7,13,9,7,6,0,7,8,87.5,1,7,3,4,14,27,14,0,Matches,90339309
2552,Anton Stach,de GER,MF,Mainz 05,de Bundesliga,22,1998,20.7,28,19,14,13,1,15,38,39.5,23,24,5,19,51,79,25,0,Matches,0f59a7bf
2553,Kostas Stafylidis,gr GRE,DFMF,Bochum,de Bundesliga,27,1993,15.4,39,27,22,14,3,21,27,77.8,6,19,6,13,31,70,44,0,Matches,861e0116
2554,Luca Stanga,it ITA,DF,Milan,it Serie A,19,2002,0.0,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,Matches,2967bcd0
2555,Josip Stanišić,hr CRO,DF,Bayern Munich,de Bundesliga,21,2000,7.2,21,10,7,12,2,12,18,66.7,6,7,0,7,11,32,10,2,Matches,7ed08d5c
2556,Niklas Stark,de GER,DFMF,Hertha BSC,de Bundesliga,26,1995,22.6,28,16,18,10,0,12,17,70.6,5,27,17,10,36,64,122,2,Matches,aad48be9
2557,Jason Steele,eng ENG,GK,Brighton,eng Premier League,30,1990,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,28300a16
2558,Jed Steer,eng ENG,GK,Aston Villa,eng Premier League,28,1992,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,a8a3d139
2559,Renato Steffen,ch SUI,MFDF,Wolfsburg,de Bundesliga,29,1991,10.7,20,16,10,10,0,9,16,56.3,7,7,0,7,13,33,14,0,Matches,dd669209
2560,Zack Steffen,us USA,GK,Manchester City,eng Premier League,26,1995,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches,42130443
2561,Calvin Stengs,nl NED,MF,Nice,fr Ligue 1,22,1998,11.9,16,7,6,9,1,7,20,35.0,13,10,0,10,8,24,6,0,Matches,8f7e6783
2562,Pascal Stenzel,de GER,DF,Stuttgart,de Bundesliga,25,1996,10.0,24,11,15,5,4,17,33,51.5,16,13,3,10,11,35,25,0,Matches,99f7e9aa
2563,Dale Stephens,eng ENG,MF,Burnley,eng Premier League,32,1989,1.4,4,1,0,3,1,3,8,37.5,5,4,1,3,1,5,1,0,Matches,653ee42d
2564,Jack Stephens,eng ENG,DF,Southampton,eng Premier League,27,1994,9.0,19,12,13,5,1,6,16,37.5,10,12,7,5,19,38,42,0,Matches,6adbc307
2565,Raheem Sterling,eng ENG,FWMF,Manchester City,eng Premier League,26,1994,23.6,23,10,3,11,9,10,23,43.5,13,12,0,12,12,35,3,0,Matches,b400bde0
2566,Finley Stevens,wls WAL,DF,Brentford,eng Premier League,18,2003,0.2,3,1,0,3,0,1,1,100.0,0,0,0,0,0,3,0,0,Matches,7e003182
2567,Angelo Stiller,de GER,MF,Hoffenheim,de Bundesliga,20,2001,18.8,30,17,11,15,4,9,23,39.1,14,32,6,26,9,39,16,2,Matches,3b1ed320
2568,Lars Stindl,de GER,MFFW,M'Gladbach,de Bundesliga,32,1988,18.1,23,15,6,14,3,9,33,27.3,24,28,2,26,10,33,14,0,Matches,7cd6badb
2569,Riccardo Stivanello,it ITA,DF,Bologna,it Serie A,17,2004,0.5,1,1,1,0,0,1,1,100.0,0,2,2,0,0,1,6,0,Matches,90e1d9dc
2570,Kevin Stöger,at AUT,MF,Mainz 05,de Bundesliga,27,1993,4.7,10,5,5,5,0,4,10,40.0,6,6,0,6,5,15,1,1,Matches,e5649a78
2571,Petar Stojanović,si SVN,DF,Empoli,it Serie A,25,1995,30.4,96,63,55,32,9,59,114,51.8,55,39,13,26,27,123,65,1,Matches,13b44b02
2572,John Stones,eng ENG,DF,Manchester City,eng Premier League,27,1994,12.4,5,3,3,2,0,2,3,66.7,1,3,3,0,11,16,27,1,Matches,5eecec3d
2573,Thomas Strakosha,al ALB,GK,Lazio,it Serie A,26,1995,23.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,7,2,Matches,339fe0e8
2574,Stefan Strandberg,no NOR,DF,Salernitana,it Serie A,31,1990,10.4,13,8,10,3,0,8,11,72.7,3,15,13,2,9,22,49,0,Matches,6d5e62b0
2575,Dávid Strelec,sk SVK,MFFW,Spezia,it Serie A,20,2001,5.6,4,4,1,2,1,2,9,22.2,7,8,1,7,2,6,1,0,Matches,2cb9486d
2576,Tobias Strobl,de GER,MFDF,Augsburg,de Bundesliga,31,1990,3.6,8,3,3,5,0,3,11,27.3,8,7,2,5,7,15,3,0,Matches,17780d2b
2577,Kevin Strootman,nl NED,MF,Cagliari,it Serie A,31,1990,7.1,8,4,2,4,2,5,12,41.7,7,11,2,9,10,18,15,0,Matches,ef2e5e1a
2578,Pascal Struijk,nl NED,DFMF,Leeds United,eng Premier League,21,1999,22.8,61,39,34,23,4,30,50,60.0,20,35,23,12,33,94,60,2,Matches,f4d296e4
2579,Jens Stryger Larsen,dk DEN,DF,Udinese,it Serie A,30,1991,7.6,5,2,3,1,1,2,3,66.7,1,2,0,2,4,9,17,0,Matches,f91e81c9
2580,Leo Štulac,si SVN,MF,Empoli,it Serie A,26,1994,9.3,13,6,5,6,2,7,19,36.8,12,6,2,4,8,21,15,0,Matches,92948398
2581,Stefano Sturaro,it ITA,MF,Genoa,it Serie A,28,1993,19.6,43,26,16,16,11,22,48,45.8,26,25,1,24,15,58,29,2,Matches,2334478a
2582,Damián Suárez,uy URU,DF,Getafe,es La Liga,33,1988,30.1,74,47,34,30,10,42,91,46.2,49,46,5,41,31,105,30,0,Matches,ba5004e1
